DATA,VENDAS,FDS,DATA_FESTIVA,VESPERA_DATA_FESTIVA,POS_DATA_FESTIVA,FERIADO,SEMANA_PAGAMENTO,ALTA_TEMPORADA,QTD_CONCORRENTES,PRECIPITACAO,TEMPERATURA,UMIDADE,VENDAS_ONTEM
2018-03-15,120,0,0,0,0,0,0,1,8,35,30,80,186.0
2018-03-16,133,0,0,0,0,0,0,1,8,5,30,70,120.0
2018-03-17,179,1,0,0,0,0,0,1,8,5,35,75,133.0
2018-03-18,165,1,0,0,0,0,0,1,8,5,40,65,179.0
2018-03-19,149,0,0,0,0,0,0,1,8,10,30,75,165.0
2018-03-20,155,0,0,0,0,0,0,1,8,5,25,85,149.0
2018-03-21,160,0,0,0,0,0,0,1,8,5,25,80,155.0
2018-03-22,178,0,0,0,0,0,0,1,8,5,30,65,160.0
2018-03-23,149,0,0,0,0,0,0,1,8,5,35,70,178.0
2018-03-24,188,1,0,0,0,0,0,1,8,5,30,95,149.0
2018-03-25,174,1,0,0,0,0,0,1,8,30,25,80,188.0
2018-03-26,166,0,0,0,0,0,0,1,8,5,25,90,174.0
2018-03-27,130,0,0,0,0,0,0,1,8,5,25,90,166.0
2018-03-28,139,0,0,0,0,0,1,1,8,5,30,90,130.0
2018-03-29,120,0,0,0,0,0,1,1,8,5,30,90,139.0
2018-03-31,108,1,0,0,0,0,1,1,8,5,25,95,120.0
2018-04-01,129,1,0,0,0,0,0,1,8,20,30,95,108.0
2018-04-02,139,0,0,0,0,0,0,1,8,10,25,95,129.0
2018-04-03,145,0,0,0,0,0,0,1,8,25,30,85,139.0
2018-04-04,159,0,0,0,0,0,0,1,8,5,30,90,145.0
2018-04-05,166,0,0,0,0,0,1,1,8,5,30,80,159.0
2018-04-06,175,0,0,0,0,0,1,1,8,5,30,85,166.0
2018-04-07,153,1,0,0,0,0,1,1,8,5,30,75,175.0
2018-04-08,111,1,0,0,0,0,1,1,8,5,30,80,153.0
2018-04-09,139,0,0,0,0,0,1,1,8,5,35,80,111.0
2018-04-10,140,0,0,0,0,0,1,1,8,5,35,75,139.0
2018-04-11,125,0,0,0,0,0,0,1,8,5,35,65,140.0
2018-04-12,138,0,0,0,0,0,0,1,8,5,35,65,125.0
2018-04-13,144,0,0,0,0,0,0,1,8,5,30,85,138.0
2018-04-14,121,1,0,0,0,0,0,1,8,5,25,80,144.0
2018-04-15,106,1,0,0,0,0,0,1,8,5,30,75,121.0
2018-04-16,134,0,0,0,0,0,0,1,8,5,30,70,106.0
2018-04-17,161,0,0,0,0,0,0,1,8,5,30,70,134.0
2018-04-18,130,0,0,0,0,0,0,1,8,5,30,65,161.0
2018-04-19,145,0,0,0,0,0,0,1,8,5,35,70,130.0
2018-04-20,158,0,0,0,0,0,0,1,8,5,35,65,145.0
2018-04-21,86,1,0,0,0,1,0,1,8,20,30,95,158.0
2018-04-22,99,1,0,0,0,0,0,1,8,10,30,80,86.0
2018-04-23,116,0,0,0,0,0,0,1,8,5,35,75,99.0
2018-04-24,140,0,0,0,0,0,0,1,8,5,30,85,116.0
2018-04-25,131,0,0,0,0,0,0,1,8,5,30,80,140.0
2018-04-26,147,0,0,0,0,0,0,1,8,5,30,90,131.0
2018-04-27,128,0,0,0,0,0,0,1,8,5,30,80,147.0
2018-04-28,99,1,0,0,0,0,1,1,8,5,35,75,128.0
2018-04-29,105,1,0,0,0,0,1,1,8,5,35,75,99.0
2018-04-30,98,0,0,0,0,1,1,1,8,25,30,85,105.0
2018-05-01,79,0,0,0,0,1,0,1,8,5,25,95,98.0
2018-05-02,121,0,0,0,0,0,0,1,8,5,25,85,79.0
2018-05-03,110,0,0,0,0,0,0,1,8,5,25,85,121.0
2018-05-04,140,0,0,0,0,0,0,1,8,5,30,85,110.0
2018-05-05,166,1,0,0,0,0,1,1,8,5,30,90,140.0
2018-05-06,159,1,0,0,0,0,1,1,8,5,25,85,166.0
2018-05-07,149,0,0,0,0,0,1,1,8,5,25,80,159.0
2018-05-08,160,0,0,0,0,0,1,1,8,5,30,80,149.0
2018-05-09,189,0,0,1,0,0,1,1,8,5,30,75,160.0
2018-05-14,140,0,0,0,1,0,0,1,8,5,30,80,225.0
2018-05-15,127,0,0,0,1,0,0,1,8,5,25,85,140.0
2018-05-16,109,0,0,0,0,0,0,1,8,5,25,65,127.0
2018-05-17,116,0,0,0,0,0,0,1,8,5,25,75,109.0
2018-05-18,129,0,0,0,0,0,0,1,8,30,20,95,116.0
2018-05-19,144,1,0,0,0,0,0,1,8,10,20,95,129.0
2018-05-20,136,1,0,0,0,0,0,1,8,35,15,85,144.0
2018-05-21,110,0,0,0,0,0,0,1,8,5,20,85,136.0
2018-05-22,139,0,0,0,0,0,0,1,8,5,20,80,110.0
2018-05-23,155,0,0,0,0,0,0,1,8,5,20,80,139.0
2018-05-24,126,0,0,0,0,0,0,1,8,5,20,80,155.0
2018-05-25,181,0,0,0,0,0,0,1,8,5,25,80,126.0
2018-05-26,141,1,0,0,0,0,0,1,9,5,30,85,181.0
2018-05-27,127,1,0,0,0,0,0,1,9,5,30,80,141.0
2018-05-28,137,0,0,0,0,0,1,1,9,5,30,80,127.0
2018-05-29,108,0,0,0,0,0,1,1,9,5,30,65,137.0
2018-05-30,124,0,0,0,0,0,1,1,9,5,30,70,108.0
2018-05-31,89,0,0,0,0,1,1,1,9,5,25,85,124.0
2018-06-01,106,0,0,0,0,1,0,1,9,5,25,95,89.0
2018-06-02,139,1,0,0,0,0,0,1,9,20,20,80,106.0
2018-06-03,163,1,0,0,0,0,0,1,9,5,15,90,139.0
2018-06-04,149,0,0,0,0,0,0,1,9,5,20,80,163.0
2018-06-05,161,0,0,0,0,0,1,1,9,5,20,85,149.0
2018-06-06,139,0,0,0,0,0,1,1,9,10,20,80,161.0
2018-06-07,150,0,0,0,0,0,1,1,9,5,20,70,139.0
2018-06-08,144,0,0,0,0,0,1,1,9,5,20,80,150.0
2018-06-09,166,1,0,0,0,0,1,1,9,5,25,70,144.0
2018-06-10,186,1,0,0,0,0,1,1,9,10,25,90,166.0
2018-06-11,155,0,0,0,0,0,0,1,9,10,30,80,186.0
2018-06-12,139,0,0,0,0,0,0,1,9,40,25,95,155.0
2018-06-13,167,0,0,0,0,0,0,1,9,10,20,65,139.0
2018-06-14,175,0,0,0,0,0,0,1,9,5,15,75,167.0
2018-06-15,147,0,0,0,0,0,0,1,9,5,15,80,175.0
2018-06-16,129,1,0,0,0,0,0,1,9,5,15,80,147.0
2018-06-17,177,1,0,0,0,0,0,1,9,5,15,80,129.0
2018-06-18,149,0,0,0,0,0,0,1,9,5,20,90,177.0
2018-06-19,138,0,0,0,0,0,0,1,9,5,25,90,149.0
2018-06-20,140,0,0,0,0,0,0,1,9,5,25,85,138.0
2018-06-21,138,0,0,0,0,0,0,1,9,5,30,85,140.0
2018-06-22,155,0,0,0,0,0,0,1,9,5,20,75,138.0
2018-06-23,149,1,0,0,0,0,0,1,9,5,30,85,155.0
2018-06-24,179,1,0,0,0,0,0,1,9,25,15,85,149.0
2018-06-25,148,0,0,0,0,0,0,1,9,15,15,95,179.0
2018-06-26,129,0,0,0,0,0,0,1,9,10,20,90,148.0
2018-06-27,116,0,0,0,0,0,0,1,9,5,20,95,129.0
2018-06-28,146,0,0,0,0,0,1,1,9,5,20,100,116.0
2018-06-29,139,0,0,0,0,0,1,1,9,10,20,100,146.0
2018-06-30,177,1,0,0,0,0,1,1,9,10,20,95,139.0
2018-07-01,195,1,0,0,0,0,0,1,9,5,25,85,177.0
2018-07-02,149,0,0,0,0,0,0,1,9,5,20,95,195.0
2018-07-03,131,0,0,0,0,0,0,1,9,25,15,80,149.0
2018-07-04,157,0,0,0,0,0,0,1,9,5,15,90,131.0
2018-07-05,170,0,0,0,0,0,1,1,9,10,15,100,157.0
2018-07-06,145,0,0,0,0,0,1,1,9,5,20,95,170.0
2018-07-07,163,1,0,0,0,0,1,1,9,5,25,90,145.0
2018-07-08,188,1,0,0,0,0,1,1,9,5,20,80,163.0
2018-07-09,161,0,0,0,0,0,1,1,9,15,15,100,188.0
2018-07-10,149,0,0,0,0,0,1,1,9,20,20,90,161.0
2018-07-11,130,0,0,0,0,0,0,1,9,5,20,90,149.0
2018-07-12,114,0,0,0,0,0,0,1,9,5,20,85,130.0
2018-07-13,129,0,0,0,0,0,0,1,9,5,20,85,114.0
2018-07-14,138,1,0,0,0,0,0,1,9,5,30,80,129.0
2018-07-15,164,1,0,0,0,0,0,1,9,5,30,75,138.0
2018-07-16,139,0,0,0,0,0,0,1,9,5,25,95,164.0
2018-07-17,110,0,0,0,0,0,0,1,9,20,20,100,139.0
2018-07-18,101,0,0,0,0,0,0,1,9,50,30,85,110.0
2018-07-19,133,0,0,0,0,0,0,1,9,5,30,70,101.0
2018-07-20,109,0,0,0,0,0,0,1,9,5,30,85,133.0
2018-07-21,139,1,0,0,0,0,0,1,9,15,15,60,109.0
2018-07-22,155,1,0,0,0,0,0,1,9,5,20,80,139.0
2018-07-23,129,0,0,0,0,0,0,1,9,5,20,85,155.0
2018-07-24,115,0,0,0,0,0,0,1,9,10,15,95,129.0
2018-07-25,133,0,0,0,0,0,0,1,9,20,20,95,115.0
2018-07-26,90,0,0,0,0,0,0,1,9,15,20,95,133.0
2018-07-27,81,0,0,0,0,0,0,1,9,5,20,85,90.0
2018-07-28,104,1,0,0,0,0,1,1,9,5,20,95,81.0
2018-07-29,155,1,0,0,0,0,1,1,9,5,20,70,104.0
2018-07-30,133,0,0,0,0,0,1,1,9,5,20,80,155.0
2018-07-31,125,0,0,0,0,0,1,1,9,5,20,80,133.0
2018-08-01,149,0,0,0,0,0,0,1,9,5,20,75,125.0
2018-08-02,120,0,0,0,0,0,0,1,9,5,25,80,149.0
2018-08-03,151,0,0,0,0,0,0,1,9,5,25,85,120.0
2018-08-04,123,1,0,0,0,0,0,1,9,5,25,75,151.0
2018-08-05,177,1,0,0,0,0,1,1,9,5,20,80,123.0
2018-08-06,144,0,0,0,0,0,1,1,9,5,20,80,177.0
2018-08-07,99,0,0,0,0,0,1,1,9,5,25,70,144.0
2018-08-08,164,0,0,1,0,0,1,1,9,5,20,95,99.0
2018-08-09,154,0,0,1,0,0,1,1,9,10,15,90,164.0
2018-08-10,186,0,0,1,0,0,1,1,9,5,15,80,154.0
2018-08-11,170,1,0,1,0,0,0,1,9,5,15,95,186.0
2018-08-12,153,1,1,0,0,0,0,1,9,5,20,90,170.0
2018-08-13,139,0,0,0,1,0,0,1,9,5,25,85,153.0
2018-08-14,106,0,0,0,1,0,0,1,9,5,25,80,139.0
2018-08-15,131,0,0,0,0,0,0,1,9,5,20,80,106.0
2018-08-16,121,0,0,0,0,0,0,1,9,5,20,80,131.0
2018-08-17,149,0,0,0,0,0,0,1,9,5,25,75,121.0
2018-08-18,155,1,0,0,0,0,0,1,9,5,30,70,149.0
2018-08-19,188,1,0,0,0,0,0,1,9,5,30,80,155.0
2018-08-20,141,0,0,0,0,0,0,1,10,15,15,95,188.0
2018-08-21,109,0,0,0,0,0,0,1,10,20,15,85,141.0
2018-08-22,121,0,0,0,0,0,0,1,10,10,15,95,109.0
2018-08-23,144,0,0,0,0,0,0,1,10,5,25,75,121.0
2018-08-24,130,0,0,0,0,0,0,1,10,10,25,95,144.0
2018-08-25,112,1,0,0,0,0,0,1,10,20,20,65,130.0
2018-08-26,134,1,0,0,0,0,0,1,10,5,15,60,112.0
2018-08-27,163,0,0,0,0,0,0,1,10,5,25,70,134.0
2018-08-28,132,0,0,0,0,0,1,1,10,5,25,75,163.0
2018-08-29,119,0,0,0,0,0,1,1,10,5,30,65,132.0
2018-08-30,124,0,0,0,0,0,1,1,10,5,25,90,119.0
2018-08-31,91,0,0,0,0,0,1,1,10,45,20,100,124.0
2018-09-01,104,1,0,0,0,0,0,1,10,25,20,100,91.0
2018-09-02,111,1,0,0,0,0,0,1,10,50,20,95,104.0
2018-09-03,103,0,0,0,0,0,0,1,10,10,20,95,111.0
2018-09-04,134,0,0,0,0,0,0,1,10,5,20,85,103.0
2018-09-05,119,0,0,0,0,0,1,1,10,5,25,75,134.0
2018-09-06,106,0,0,0,0,0,1,1,10,5,30,65,119.0
2018-09-07,129,0,0,0,0,1,1,1,10,5,30,60,106.0
2018-09-08,113,1,0,0,0,0,1,1,10,5,25,75,129.0
2018-09-09,155,1,0,0,0,0,1,1,10,5,25,80,113.0
2018-09-10,136,0,0,0,0,0,1,1,10,5,25,75,155.0
2018-09-11,104,0,0,0,0,0,0,1,10,5,25,80,136.0
2018-09-12,129,0,0,0,0,0,0,1,10,5,25,75,104.0
2018-09-13,109,0,0,0,0,0,0,1,10,5,30,75,129.0
2018-09-14,128,0,0,0,0,0,0,1,10,10,20,95,109.0
2018-09-15,159,1,0,0,0,0,0,1,10,10,25,85,128.0
2018-09-16,177,1,0,0,0,0,0,1,10,5,25,75,159.0
2018-09-17,130,0,0,0,0,0,0,1,10,5,25,85,177.0
2018-09-18,152,0,0,0,0,0,0,1,10,5,25,80,130.0
2018-09-19,105,0,0,0,0,0,0,1,10,5,30,70,152.0
2018-09-20,129,0,0,0,0,0,0,1,10,5,25,75,105.0
2018-09-21,115,0,0,0,0,0,0,1,10,5,30,80,129.0
2018-09-22,148,1,0,0,0,0,0,1,10,5,35,65,115.0
2018-09-23,109,1,0,0,0,0,0,1,10,10,30,95,148.0
2018-09-24,130,0,0,0,0,0,0,1,10,55,25,95,109.0
2018-09-25,123,0,0,0,0,0,0,1,10,5,25,95,130.0
2018-09-26,109,0,0,0,0,0,0,1,10,10,30,80,123.0
2018-09-27,143,0,0,0,0,0,0,1,10,5,25,80,109.0
2018-09-28,129,0,0,0,0,0,1,1,10,5,30,85,143.0
2018-09-29,151,1,0,0,0,0,1,1,10,5,35,75,129.0
2018-09-30,166,1,0,0,0,0,1,1,10,5,25,85,151.0
2018-10-01,131,0,0,0,0,0,0,1,10,5,30,90,166.0
2018-10-02,155,0,0,0,0,0,0,1,10,35,20,95,131.0
2018-10-03,148,0,0,0,0,0,0,1,10,10,20,90,155.0
2018-10-04,104,0,0,0,0,0,0,1,10,5,25,65,148.0
2018-10-05,121,0,0,0,0,0,1,1,10,5,25,65,104.0
2018-10-06,132,1,0,0,0,0,1,1,10,5,25,65,121.0
2018-10-07,122,1,0,0,0,0,1,1,10,5,30,70,132.0
2018-10-08,109,0,0,0,0,0,1,1,10,5,35,75,122.0
2018-10-09,128,0,0,0,0,0,1,1,10,5,30,85,109.0
2018-10-10,100,0,0,0,0,0,1,1,10,5,25,75,128.0
2018-10-11,89,0,0,0,0,0,0,1,10,5,25,70,100.0
2018-10-13,88,1,0,0,0,0,0,1,10,5,25,85,69.0
2018-10-14,73,1,0,0,0,0,0,1,10,5,25,80,88.0
2018-10-15,104,0,0,0,0,0,0,1,10,5,30,75,73.0
2018-10-16,111,0,0,0,0,0,0,1,10,5,30,70,104.0
2018-10-17,125,0,0,0,0,0,0,1,10,5,35,75,111.0
2018-10-18,101,0,0,0,0,0,0,1,10,5,30,85,125.0
2018-10-19,153,0,0,0,0,0,0,1,10,5,30,70,101.0
2018-10-20,131,1,0,0,0,0,0,1,10,5,25,65,153.0
2018-10-21,121,1,0,0,0,0,0,1,10,5,25,70,131.0
2018-10-22,141,0,0,0,0,0,0,1,10,5,30,65,121.0
2018-10-23,144,0,0,0,0,0,0,1,10,5,25,70,141.0
2018-10-24,163,0,0,0,0,0,0,1,10,5,25,70,144.0
2018-10-25,104,0,0,0,0,0,0,1,10,5,30,75,163.0
2018-10-26,130,0,0,0,0,0,0,1,10,5,30,85,104.0
2018-10-27,128,1,0,0,0,0,0,1,10,20,25,80,130.0
2018-10-28,116,1,0,0,0,0,1,1,10,5,25,70,128.0
2018-10-29,104,0,0,0,0,0,1,1,10,5,30,70,116.0
2018-10-30,129,0,0,0,0,0,1,1,10,5,35,65,104.0
2018-10-31,136,0,0,0,0,0,1,1,10,25,30,85,129.0
2018-11-01,88,0,0,0,0,0,0,1,10,5,25,80,136.0
2018-11-03,90,1,0,0,0,0,0,1,10,20,25,90,88.0
2018-11-04,122,1,0,0,0,0,0,1,10,5,25,70,90.0
2018-11-05,108,0,0,0,0,0,1,1,10,5,30,70,122.0
2018-11-06,115,0,0,0,0,0,1,1,10,5,30,75,108.0
2018-11-07,129,0,0,0,0,0,1,1,10,5,25,80,115.0
2018-11-08,100,0,0,0,0,0,1,1,10,5,30,65,129.0
2018-11-09,109,0,0,0,0,0,1,1,10,5,35,65,100.0
2018-11-10,73,1,0,0,0,0,1,1,10,5,35,65,109.0
2018-11-11,153,1,0,0,0,0,0,1,10,5,35,60,73.0
2018-11-12,104,0,0,0,0,0,0,1,10,5,35,75,153.0
2018-11-13,106,0,0,0,0,0,0,1,10,5,35,60,104.0
2018-11-14,125,0,0,0,0,0,0,1,10,20,30,75,106.0
2018-11-15,123,0,0,0,0,1,0,1,10,5,30,60,125.0
2018-11-16,89,0,0,0,0,1,0,1,10,5,30,70,123.0
2018-11-17,106,1,0,0,0,0,0,1,10,5,30,70,89.0
2018-11-18,122,1,0,0,0,0,0,1,10,30,25,80,106.0
2018-11-19,89,0,0,0,0,0,0,1,10,5,30,60,122.0
2018-11-20,148,0,0,0,0,0,0,1,10,5,30,65,89.0
2018-11-21,131,0,0,0,0,0,0,1,10,5,35,65,148.0
2018-11-22,154,0,0,0,0,0,0,1,10,5,35,65,131.0
2018-11-23,148,0,0,0,0,0,0,1,10,5,35,70,154.0
2018-11-24,107,1,0,0,0,0,0,1,10,50,25,95,148.0
2018-11-25,139,1,0,0,0,0,0,1,10,10,30,65,107.0
2018-11-26,119,0,0,0,0,0,0,1,10,5,30,65,139.0
2018-11-27,148,0,0,0,0,0,0,1,10,5,30,75,119.0
2018-11-28,137,0,0,0,0,0,1,1,10,5,30,80,148.0
2018-11-29,151,0,0,0,0,0,1,1,10,5,35,75,137.0
2018-11-30,164,0,0,0,0,0,1,1,10,5,30,90,151.0
2018-12-01,128,1,0,0,0,0,0,1,10,5,30,90,164.0
2018-12-02,158,1,0,0,0,0,0,1,10,10,25,70,128.0
2018-12-03,139,0,0,0,0,0,0,1,10,5,25,55,158.0
2018-12-04,151,0,0,0,0,0,0,1,10,5,30,50,139.0
2018-12-05,166,0,0,0,0,0,1,1,10,5,30,65,151.0
2018-12-06,128,0,0,0,0,0,1,1,10,5,25,70,166.0
2018-12-07,155,0,0,0,0,0,1,1,10,5,25,60,128.0
2018-12-08,139,1,0,0,0,0,1,1,10,5,30,55,155.0
2018-12-09,167,1,0,0,0,0,1,1,10,5,35,60,139.0
2018-12-10,149,0,0,0,0,0,1,1,10,5,35,55,167.0
2018-12-11,153,0,0,0,0,0,0,1,10,5,40,50,149.0
2018-12-12,149,0,0,0,0,0,0,1,10,5,30,75,153.0
2018-12-13,186,0,0,0,0,0,0,1,10,5,35,80,149.0
2018-12-14,155,0,0,0,0,0,0,1,10,5,40,75,186.0
2018-12-15,161,1,0,0,0,0,0,1,10,10,30,85,155.0
2018-12-16,183,1,0,0,0,0,0,1,10,5,35,75,161.0
2018-12-17,152,0,0,0,0,0,0,1,10,5,40,75,183.0
2018-12-18,139,0,0,0,0,0,0,1,10,15,30,90,152.0
2018-12-19,168,0,0,0,0,0,0,1,10,5,30,85,139.0
2018-12-20,175,0,0,0,0,0,0,1,10,5,30,85,168.0
2018-12-21,164,0,0,1,0,0,0,1,10,15,30,80,175.0
2018-12-26,139,0,0,1,1,0,0,1,10,5,35,70,229.0
2018-12-27,108,0,0,1,1,0,0,1,10,5,35,70,139.0
2018-12-28,126,0,0,1,0,0,1,1,10,5,40,60,108.0
2019-01-02,87,0,0,0,1,0,0,0,10,5,40,60,126.0
2019-01-03,99,0,0,0,1,0,0,0,10,5,35,90,87.0
2019-01-04,81,0,0,0,0,0,0,0,10,15,30,85,99.0
2019-01-05,79,1,0,0,0,0,1,0,10,5,30,75,81.0
2019-01-06,89,1,0,0,0,0,1,0,10,5,35,70,79.0
2019-01-07,105,0,0,0,0,0,1,0,10,5,35,75,89.0
2019-01-08,87,0,0,0,0,0,1,0,10,5,35,70,105.0
2019-01-09,98,0,0,0,0,0,1,0,10,5,30,75,87.0
2019-01-10,101,0,0,0,0,0,1,0,10,5,30,75,98.0
2019-01-11,85,0,0,0,0,0,0,0,10,5,30,80,101.0
2019-01-13,86,1,0,0,0,0,0,0,10,5,40,65,69.0
2019-01-14,94,0,0,0,0,0,0,0,10,5,35,80,86.0
2019-01-15,128,0,0,0,0,0,0,0,10,5,35,70,94.0
2019-01-16,113,0,0,0,0,0,0,0,10,35,35,80,128.0
2019-01-17,97,0,0,0,0,0,0,0,10,5,30,90,113.0
2019-01-18,100,0,0,0,0,0,0,0,10,15,30,90,97.0
2019-01-19,78,1,0,0,0,0,0,0,10,15,25,95,100.0
2019-01-20,104,1,0,0,0,0,0,0,10,10,30,80,78.0
2019-01-21,128,0,0,0,0,0,0,0,10,5,30,85,104.0
2019-01-22,119,0,0,0,0,0,0,0,10,5,35,75,128.0
2019-01-23,130,0,0,0,0,0,0,0,10,5,35,65,119.0
2019-01-24,125,0,0,0,0,0,0,0,10,5,35,85,130.0
2019-01-25,117,0,0,0,0,0,0,0,10,10,35,70,125.0
2019-01-26,105,1,0,0,0,0,0,0,10,5,40,70,117.0
2019-01-27,120,1,0,0,0,0,0,0,10,5,35,65,105.0
2019-01-28,106,0,0,0,0,0,1,0,10,5,40,60,120.0
2019-01-29,98,0,0,0,0,0,1,0,10,5,40,65,106.0
2019-01-30,86,0,0,0,0,0,1,0,10,5,40,55,98.0
2019-01-31,127,0,0,0,0,0,1,0,10,5,40,80,86.0
2019-02-01,106,0,0,0,0,0,0,0,10,20,40,80,127.0
2019-02-02,95,1,0,0,0,0,0,0,10,5,35,85,106.0
2019-02-03,108,1,0,0,0,0,0,0,10,25,30,75,95.0
2019-02-04,117,0,0,0,0,0,0,0,10,5,30,70,108.0
2019-02-05,126,0,0,0,0,0,1,0,10,5,30,65,117.0
2019-02-06,148,0,0,0,0,0,1,0,10,5,30,70,126.0
2019-02-07,131,0,0,0,0,0,1,0,10,5,35,65,148.0
2019-02-08,134,0,0,0,0,0,1,0,10,5,35,65,131.0
2019-02-09,159,1,0,0,0,0,1,0,10,5,40,55,134.0
2019-02-10,130,1,0,0,0,0,1,0,10,5,30,85,159.0
2019-02-11,139,0,0,0,0,0,0,0,10,5,35,80,130.0
2019-02-12,117,0,0,0,0,0,0,0,10,15,25,75,139.0
2019-02-13,142,0,0,0,0,0,0,0,10,5,30,70,117.0
2019-02-14,128,0,0,0,0,0,0,0,10,5,35,65,142.0
2019-02-15,99,0,0,0,0,0,0,0,10,5,25,85,128.0
2019-02-16,128,1,0,0,0,0,0,0,10,5,30,80,99.0
2019-02-17,105,1,0,0,0,0,0,0,10,5,30,70,128.0
2019-02-18,138,0,0,0,0,0,0,0,10,5,35,75,105.0
2019-02-19,118,0,0,0,0,0,0,0,10,5,35,70,138.0
2019-02-20,122,0,0,0,0,0,0,0,10,5,35,70,118.0
2019-02-21,131,0,0,0,0,0,0,0,10,5,35,70,122.0
2019-02-22,107,0,0,0,0,0,0,0,10,5,35,65,131.0
2019-02-23,150,1,0,0,0,0,0,0,10,5,40,60,107.0
2019-02-24,145,1,0,0,0,0,0,0,10,5,35,85,150.0
2019-02-25,149,0,0,0,0,0,0,0,10,35,25,95,145.0
2019-02-26,138,0,0,0,0,0,0,0,10,10,25,75,149.0
2019-02-27,163,0,0,1,0,0,0,0,10,5,25,70,138.0
2019-02-28,141,0,0,1,0,0,1,0,10,5,30,70,163.0
2019-03-01,130,0,0,1,0,0,0,1,10,5,35,70,141.0
2019-03-02,107,1,0,1,0,0,0,1,10,5,35,55,130.0
2019-03-07,85,0,0,0,1,0,1,1,10,5,35,70,63.0
2019-03-08,77,0,0,0,0,0,1,1,10,5,30,85,85.0
2019-03-10,112,1,0,0,0,0,1,1,10,10,25,75,62.0
2019-03-11,134,0,0,0,0,0,0,1,10,5,30,75,112.0
2019-03-12,136,0,0,0,0,0,0,1,10,5,30,75,134.0
2019-03-13,143,0,0,0,0,0,0,1,10,5,30,80,136.0
2019-03-14,120,0,0,0,0,0,0,1,10,5,30,75,143.0
2019-03-15,139,0,0,0,0,0,0,1,10,5,30,80,120.0
2019-03-16,148,1,0,0,0,0,0,1,10,5,35,75,139.0
2019-03-17,127,1,0,0,0,0,0,1,10,5,30,90,148.0
2019-03-18,118,0,0,0,0,0,0,1,10,10,30,90,127.0
2019-03-19,127,0,0,0,0,0,0,1,10,5,30,75,118.0
2019-03-20,133,0,0,0,0,0,0,1,10,5,25,80,127.0
2019-03-21,126,0,0,0,0,0,0,1,10,5,25,70,133.0
2019-03-22,113,0,0,0,0,0,0,1,10,5,30,75,126.0
2019-03-23,136,1,0,0,0,0,0,1,10,5,30,75,113.0
2019-03-24,153,1,0,0,0,0,0,1,10,5,30,65,136.0
2019-03-25,127,0,0,0,0,0,0,1,10,5,25,65,153.0
2019-03-26,129,0,0,0,0,0,0,1,10,5,30,80,127.0
2019-03-27,118,0,0,0,0,0,0,1,10,5,25,85,129.0
2019-03-28,120,0,0,0,0,0,1,1,10,5,30,75,118.0
2019-03-29,114,0,0,0,0,0,1,1,10,5,30,75,120.0
2019-03-30,137,1,0,0,0,0,1,1,10,5,35,70,114.0
2019-03-31,122,1,0,0,0,0,1,1,10,5,30,80,137.0
2019-04-01,131,0,0,0,0,0,0,1,10,5,35,80,122.0
2019-04-02,127,0,0,0,0,0,0,1,10,5,35,70,131.0
2019-04-03,138,0,0,0,0,0,0,1,10,5,35,75,127.0
